i;Ii;Ji;ni
1;0;0;0.639767553612785
2;1;1;-0.129727445396014E2
3;1;32;-0.224595125848403E16
4;4;7;0.177466741801846E7
5;12;4;0.717079349571538E10
6;12;14;-0.378829107169011E18
7;16;36;-0.955586736431328E35
8;24;10;0.187269814676188E24
9;28;0;0.119254746466473E12
10;32;18;0.110649277244882E37
