i;Ii;Ji;ni
1;0;0;0.600073641753024
2;1;1;-0.936203654849857E1
3;1;3;0.246590798594147E2
4;1;4;-0.107014222858224E3
5;1;36;-0.915821315805768E14
6;5;3;-0.862332011700662E4
7;7;0;-0.235837344740032E2
8;8;24;0.252304969384128E18
9;14;16;-0.389718771997719E19
10;20;16;-0.333775713645296E23
11;22;3;0.356499469636328E11
12;24;18;-0.148547544720641E27
13;28;8;0.330611514838798E19
14;36;24;0.813641294467829E38
